Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Competence,Challenge,Test,Test,Test,"[ 0.0502378  -0.02047212  0.04263929 ... -0.01130277 -0.0122745
  0.03881082]",0
Relatedness,Connection,Relationship,Connect,Connection,"[-0.02686101 -0.06206395  0.00505034 ... -0.00851572  0.01350697
  0.02526214]",3
Relatedness,Connection,Bond,Bind,Bond,"[-0.01195343 -0.03075219 -0.00870819 ... -0.01849567 -0.00718906
  0.01880614]",3
Relatedness,Connection,Attachment,Attach,Attachment,"[-0.02188467 -0.02813942  0.01512842 ... -0.00459007  0.01162493
  0.01916824]",3
Relatedness,Connection,Interpersonal connection,Relate,Relationship,"[-0.02408387 -0.05076588 -0.0061738  ... -0.01041809  0.00462
  0.03744398]",3
Relatedness,Belongingness,Inclusion,Include,Inclusion,"[-0.00718133 -0.04144067  0.01850673 ...  0.01198819 -0.01696236
  0.0241437 ]",3
Relatedness,Belongingness,Acceptance,Accept,Acceptance,"[-0.0028795  -0.02825044  0.0127589  ...  0.01048831 -0.01404602
  0.03955062]",3
Relatedness,Belongingness,Membership,Join,Membership,"[-0.02806086 -0.02131238  0.0287277  ... -0.00726195 -0.01473728
 -0.00184549]",3
Relatedness,Belongingness,Social connection,Socialize,Belonging,"[-0.00547377 -0.05064426 -0.03023424 ... -0.00086073 -0.00083931
  0.01650064]",3
Relatedness,Empathy,Understanding,Empathize,Empathy,"[-0.02913805 -0.03590038 -0.0021834  ...  0.00637395  0.00579954
  0.02472557]",1
Relatedness,Empathy,Compassion,Understand,Understanding,"[-3.02187377e-03 -3.57608423e-02 -7.50529289e-05 ...  9.49682668e-03
 -6.12620916e-03  2.01893467e-02]",1
Relatedness,Empathy,Caring,Care for,Compassion,"[ 0.02233116 -0.04139561  0.01351107 ... -0.013302   -0.00270646
 -0.00560566]",1
Relatedness,Empathy,Sensitivity,Sense,Sensitivity,"[ 0.01559605 -0.02908526  0.00386481 ... -0.01088987 -0.00950812
  0.00990486]",1
Relatedness,Collaboration,Cooperation,Collaborate,Collaboration,"[-0.01106848 -0.03961796  0.04560016 ... -0.00398931 -0.01831343
  0.02883872]",4
Relatedness,Collaboration,Partnership,Cooperate,Cooperation,"[-0.01346543 -0.03104413  0.0414385  ...  0.00381798 -0.01655039
  0.0359078 ]",4
Relatedness,Collaboration,Teamwork,Partner,Partnership,"[-0.0214588  -0.02040411  0.04637913 ...  0.00315054 -0.01413008
  0.02189149]",4
Relatedness,Collaboration,Joint effort,Team up,Teamwork,"[-0.015705   -0.00705025  0.03189949 ...  0.01415489 -0.0183157
  0.0256039 ]",4
Relatedness,Support,Assistance,Support,Support,"[-0.0317808  -0.03824799  0.0471022  ...  0.02473074 -0.01473852
  0.02423113]",1
Relatedness,Support,Help,Assist,Assistance,"[-0.03320274 -0.04346957  0.03586239 ...  0.02263563 -0.01304802
  0.02089113]",1
Relatedness,Support,Encouragement,Encourage,Encouragement,"[ 0.00285101 -0.05909951  0.01041764 ... -0.00966541 -0.04388465
  0.03411989]",1
Relatedness,Support,Backing,Back,Backing,"[-0.00484929 -0.03700756  0.04830364 ...  0.0079648  -0.00811622
  0.00745754]",1
Relatedness,Friendship,Companionship,Befriend,Friendship,"[-0.00359626 -0.04431105  0.03609103 ...  0.00144894 -0.0016713
  0.03596259]",1
Relatedness,Friendship,Camaraderie,Companion,Companionship,"[ 2.75234859e-02 -3.22789922e-02  2.23960411e-02 ... -8.13097649e-05
 -1.63918827e-02  2.21569370e-02]",1
Relatedness,Friendship,Intimacy,Intimate,Intimacy,"[-0.04541258 -0.00675943  0.00695447 ... -0.0047585  -0.01806549
  0.02378242]",3
Relatedness,Friendship,Social bond,Socialize,Bond,"[-0.00275786 -0.0239842  -0.02956526 ...  0.0102472  -0.0041956
  0.04101494]",3
Relatedness,Respect,Esteem,Respect,Respect,"[ 0.01167079 -0.0206504  -0.00221786 ...  0.01636345  0.02182695
  0.01989308]",1
Relatedness,Respect,Admiration,Esteem,Esteem,"[ 0.0185103  -0.02487321 -0.00540707 ...  0.01853851  0.01278932
  0.01307854]",1
Relatedness,Respect,Honor,Admire,Admiration,"[ 0.00648516 -0.04490306 -0.03475298 ...  0.02107245  0.00211345
  0.00764704]",1
Relatedness,Respect,Regard,Honor,Honor,"[ 0.00324913 -0.03009867  0.00212737 ...  0.01312829  0.01304507
  0.02266416]",1
