Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Self-Enhancement,Success,Accomplishment,Succeed,Success,"[ 0.04900721 -0.03316678  0.03782078 ... -0.03156872 -0.01382884
  0.03731613]",1
Self-Enhancement,Success,Attainment,Achieve,Achievement,"[ 0.06078172 -0.02384427  0.02469081 ... -0.02374551 -0.01954101
  0.02426754]",1
Self-Enhancement,Success,Victory,Win,Victory,"[ 0.0505643  -0.02584849  0.02436729 ...  0.00638225  0.00781989
  0.03191853]",1
Self-Enhancement,Success,Triumph,Conquer,Triumph,"[ 0.06115229 -0.02342294  0.04301055 ...  0.00025517 -0.02345338
  0.0176395 ]",1
Self-Enhancement,Competence,Capability,Master,Competence,"[ 0.05502669  0.00769053  0.02670452 ... -0.03450963 -0.00176255
  0.01352751]",4
Self-Enhancement,Competence,Proficiency,Excel,Proficiency,"[ 0.05084522 -0.01242177  0.05053451 ... -0.03022466 -0.00822704
  0.02282386]",1
Self-Enhancement,Competence,Skillfulness,Compete,Skillfulness,"[ 0.0841048  -0.00890987  0.01223913 ... -0.03031811 -0.00192729
  0.04461757]",1
Self-Enhancement,Competence,Mastery,Dominate,Mastery,"[ 0.05919569  0.00758234  0.02738926 ... -0.03114526  0.00291547
  0.01576957]",4
Self-Enhancement,Ambition,Aspiration,Aspire,Ambition,"[ 0.04933925 -0.04655751  0.0048717  ...  0.00303246 -0.01679291
  0.01404046]",4
Self-Enhancement,Ambition,Drive,Strive,Aspiration,"[ 0.04011853  0.00317787  0.01063286 ... -0.00315606 -0.03061218
  0.00874322]",4
Self-Enhancement,Ambition,Determination,Pursue,Determination,"[ 0.04048355 -0.02596642  0.0343479  ... -0.02053535 -0.02493892
  0.01552995]",4
Self-Enhancement,Ambition,Zeal,Seek,Drive,"[ 0.07347263  0.02708016  0.0245481  ...  0.00147614 -0.02254534
 -0.00747458]",4
Self-Enhancement,Influence,Power,Influence,Influence,"[ 0.022198   -0.040809    0.02023895 ... -0.03755311  0.01169913
  0.04392692]",4
Self-Enhancement,Influence,Impact,Persuade,Impact,"[ 0.03042623 -0.04251221 -0.02042502 ... -0.02242526  0.00231366
  0.02918665]",4
Self-Enhancement,Influence,Persuasiveness,Sway,Authority,"[ 0.00547338 -0.0173256  -0.00725053 ... -0.02916431 -0.01808241
  0.02297466]",4
Self-Enhancement,Influence,Control,Command,Control,"[ 0.04181397 -0.01416459  0.0166479  ... -0.03845665  0.00236539
  0.02649791]",4
Self-Enhancement,Authority,Leadership,Command,Authority,"[ 0.0249971  -0.00545902  0.0459736  ... -0.04281256 -0.01710839
  0.00829078]",4
Self-Enhancement,Authority,Supremacy,Lead,Leadership,"[ 0.02682709 -0.01901224  0.05659933 ... -0.0343795  -0.02105343
 -0.0005103 ]",4
Self-Enhancement,Authority,Command,Govern,Command,"[ 0.04234684  0.01498295  0.04486306 ... -0.0277499  -0.01044374
  0.00956449]",4
Self-Enhancement,Authority,Dominion,Rule,Dominion,"[ 0.03794767  0.02535595  0.06231573 ... -0.00763658 -0.0165433
  0.00569607]",4
Self-Enhancement,Dominance,Control,Dominate,Dominance,"[ 0.04792992  0.00095452  0.03854246 ... -0.02067509 -0.00405561
  0.03062977]",4
Self-Enhancement,Dominance,Supremacy,Control,Control,"[ 0.03772449 -0.00537553  0.05668609 ... -0.01923126 -0.00215908
  0.01656301]",4
Self-Enhancement,Dominance,Superiority,Rule,Supremacy,"[ 0.04095278 -0.01174151  0.0404683  ...  0.00697508  0.01338019
  0.00523665]",4
Self-Enhancement,Dominance,Mastery,Command,Mastery,"[ 0.03351087  0.00704884  0.04968853 ... -0.02380427 -0.00291595
  0.01783876]",4
Self-Enhancement,Wealth,Prosperity,Amass,Wealth,"[ 0.05736845 -0.03028426  0.05149196 ... -0.00936746 -0.02660418
  0.00956383]",1
Self-Enhancement,Wealth,Riches,Accumulate,Riches,"[ 0.04882345 -0.02876541  0.04232119 ... -0.02674405 -0.02616451
  0.00429007]",1
Self-Enhancement,Wealth,Abundance,Enrich,Abundance,"[ 0.04571915 -0.02779987  0.0424637  ... -0.02257401 -0.01489228
  0.01727676]",1
Self-Enhancement,Wealth,Financial success,Prosper,Prosperity,"[ 0.04921134 -0.04132601  0.04702417 ... -0.02073495 -0.02119541
  0.01794343]",1
Self-Enhancement,Social status,Prestige,Elevate,Status,"[ 0.03691158 -0.02457015  0.01323604 ...  0.00012603 -0.01958286
  0.0266975 ]",4
Self-Enhancement,Social status,Reputation,Enhance,Prestige,"[ 0.05127282 -0.00725901  0.01364721 ... -0.01248382 -0.00381063
  0.01866999]",4
Self-Enhancement,Social status,Status,Boost,Reputation,"[ 0.0442822  -0.01717152  0.0057322  ... -0.01067671 -0.01774439
  0.03566063]",4
Self-Enhancement,Social status,Social standing,Exalt,Standing,"[ 0.04512987 -0.04096228  0.02496272 ... -0.00309715 -0.00963398
  0.03194201]",4
