Factor,Adjective,Synonym,Verb,Noun
Environment,Stimulating,Motivating,Motivate,Motivation
Environment,Stagnant,Unchanging,Stagnate,Stagnation
Environment,Stagnant,Inert,Idle,Inertia
Environment,Stagnant,Sluggish,Languish,Sluggishness
Environment,Stagnant,Static,Rest,Staticity
Environment,Stagnant,Dormant,Halt,Dormancy
Environment,Stagnant,Motionless,Freeze,Immobility
Environment,Hostile,Unfriendly,Oppose,Hostility
Environment,Hostile,Antagonistic,Attack,Antagonism
Environment,Hostile,Aggressive,Confront,Aggression
Environment,Hostile,Warlike,Resist,Warfare
Environment,Hostile,Threatening,Threaten,Threat
Environment,Hostile,Belligerent,Engage,Combativeness
Environment,Friendly,Welcoming,Welcome,Friendliness
Environment,Friendly,Kind,Be kind,Kindness
Environment,Friendly,Harmonious,Harmonize,Harmony
Environment,Friendly,Congenial,Accommodate,Congeniality
Environment,Friendly,Approachable,Approach,Warmth
Environment,Friendly,Warm,Engage,Approachability
Environment,Chaotic,Disordered,Disrupt,Chaos
Environment,Chaotic,Unpredictable,Scramble,Disorder
Environment,Chaotic,Turbulent,Disturb,Turbulence
Environment,Chaotic,Frantic,Agitate,Franticness
Environment,Chaotic,Erratic,Unravel,Instability
Environment,Chaotic,Unstable,Confuse,Confusion
Environment,Stable,Consistent,Stabilize,Stability
Environment,Stable,Reliable,Secure,Reliability
Environment,Stable,Predictable,Balance,Predictability
Environment,Stable,Secure,Regulate,Security
Environment,Stable,Steady,Support,Steadiness
Environment,Stable,Balanced,Sustain,Balance
Interpersonal,Extroverted,Outgoing,Socialize,Extroversion
Interpersonal,Extroverted,Sociable,Engage,Sociability
Interpersonal,Extroverted,Gregarious,Interact,Gregariousness
Interpersonal,Extroverted,Friendly,Mingle,Friendliness
Interpersonal,Extroverted,Expressive,Express,Expressiveness
Interpersonal,Extroverted,Talkative,Communicate,Talkativeness
Interpersonal,Introverted,Reserved,Withdraw,Introversion
Interpersonal,Introverted,Quiet,Reflect,Quietness
Interpersonal,Introverted,Solitary,Isolate,Solitude
Interpersonal,Introverted,Shy,Recede,Shyness
Interpersonal,Introverted,Withdrawn,Detach,Withdrawal
Interpersonal,Introverted,Reclusive,Avoid,Reclusiveness
Interpersonal,Cooperative,Collaborative,Collaborate,Cooperation
Interpersonal,Cooperative,Team-oriented,Cooperate,Collaboration
Interpersonal,Cooperative,Helpful,Assist,Assistance
Interpersonal,Cooperative,Supportive,Support,Support
Interpersonal,Cooperative,Harmonious,Agree,Agreement
Interpersonal,Cooperative,Agreeable,Unite,Unity
Interpersonal,Competitive,Rivalrous,Compete,Competition
Interpersonal,Competitive,Opposing,Contest,Rivalry
Interpersonal,Competitive,Contesting,Challenge,Contest
Interpersonal,Competitive,Combative,Oppose,Combativeness
Interpersonal,Competitive,Challenging,Strive,Drive
Interpersonal,Competitive,Driven,Excel,Determination
Interpersonal,Assertive,Confident,Assert,Assertiveness
Interpersonal,Assertive,Bold,Declare,Confidence
Interpersonal,Assertive,Decisive,Proclaim,Boldness
Interpersonal,Assertive,Dominant,Dominate,Dominance
Interpersonal,Assertive,Firm,Enforce,Firmness
Interpersonal,Assertive,Self-assured,Affirm,Self-assurance
Interpersonal,Passive,Submissive,Submit,Submissiveness
Interpersonal,Passive,Yielding,Yield,Compliance
Interpersonal,Passive,Non-assertive,Acquiesce,Yielding
Interpersonal,Passive,Acquiescent,Comply,Acquiescence
Interpersonal,Passive,Compliant,Concede,Concession
Interpersonal,Passive,Indecisive,Relinquish,Reluctance
Affective,Positive,Optimistic,Encourage,Optimism
Affective,Positive,Cheerful,Cheer,Cheerfulness
Affective,Positive,Happy,Delight,Happiness
Affective,Positive,Uplifting,Uplift,Upliftment
Affective,Positive,Joyful,Brighten,Joy
Affective,Positive,Encouraging,Inspire,Encouragement
Affective,Negative,Pessimistic,Dampen,Pessimism
Affective,Negative,Gloomy,Dishearten,Gloominess
Affective,Negative,Sad,Sadden,Sadness
Affective,Negative,Depressing,Depress,Depression
Affective,Negative,Mournful,Mourn,Mourning
Affective,Negative,Hopeless,Lament,Hopelessness
Affective,Calm,Peaceful,Calm,Calmness
Affective,Calm,Tranquil,Soothe,Tranquility
Affective,Calm,Serene,Tranquilize,Serenity
Affective,Calm,Relaxed,Relax,Relaxation
Affective,Calm,Composed,Compose,Composure
Affective,Calm,Quiet,Pacify,Peace
Affective,Anxious,Worried,Worry,Anxiety
Affective,Anxious,Nervous,Fret,Worry
Affective,Anxious,Tense,Tense up,Tension
Affective,Anxious,Stressed,Stress,Stress
Affective,Anxious,Apprehensive,Panic,Apprehension
Affective,Anxious,Fretful,Agitate,Agitation
Affective,Passionate,Emotional,Express,Passion
Affective,Passionate,Enthusiastic,Excite,Emotion
Affective,Passionate,Fervent,Enthuse,Enthusiasm
Affective,Passionate,Intense,Empower,Fervor
Affective,Passionate,Ardent,Inspire,Intensity
Affective,Passionate,Excited,Fuel,Ardor
Affective,Indifferent,Unconcerned,Ignore,Indifference
Affective,Indifferent,Apathetic,Disregard,Apathy
Affective,Indifferent,Detached,Detach,Detachment
Affective,Indifferent,Unemotional,Withdraw,Coldness
Affective,Indifferent,Cold,Neglect,Disinterest
Affective,Indifferent,Unmoved,Avoid,Neglect
